Input problem; NO_BOUND; BOUND; Minimal optimum; NO_BOUND: cost; BOUND: cost; 
400 VMs, 200 PMs; 60.007; 60.006; 0; 1350; 1350; 
400 VMs, 200 PMs; 60.006; 60.006; 0; 1154; 1154; 
400 VMs, 200 PMs; 60.006; 60.006; 0; 1296; 1296; 
400 VMs, 200 PMs; 60.005; 60.005; 0; 1143; 1143; 
400 VMs, 200 PMs; 60.032; 60.005; 0; 1154; 1154; 
400 VMs, 200 PMs; 60.005; 60.005; 0; 1125; 1125; 
400 VMs, 200 PMs; 60.005; 60.006; 0; 1350; 1350; 
400 VMs, 200 PMs; 60.005; 60.005; 0; 1320; 1320; 
400 VMs, 200 PMs; 60.006; 60.006; 0; 1144; 1144; 
400 VMs, 200 PMs; 60.006; 60.005; 0; 1239; 1239; 

