Input problem; NO_SB; SB; Minimal optimum; NO_SB: cost; SB: cost; 
400 VMs, 200 PMs; 60.006; 60.006; 1140; 1220; 1220; 
400 VMs, 200 PMs; 60.005; 60.005; 1309; 1390; 1389; 
400 VMs, 200 PMs; 60.005; 60.005; 1049; 1120; 1120; 
400 VMs, 200 PMs; 60.005; 60.005; 1330; 1420; 1420; 
400 VMs, 200 PMs; 60.006; 60.006; 1110; 1190; 1190; 
400 VMs, 200 PMs; 60.005; 60.005; 1140; 1220; 1220; 
400 VMs, 200 PMs; 60.005; 60.022; 1109; 1185; 1185; 
400 VMs, 200 PMs; 60.006; 60.005; 1068; 1120; 1120; 
400 VMs, 200 PMs; 60.006; 60.006; 1209; 1300; 1300; 
400 VMs, 200 PMs; 60.005; 60.005; 1300; 1394; 1394; 

