Input problem; Minimal optimum; VM_NONE: cost; VM_MAX: cost; VM_LEX: cost; VM_SUM: cost; 
400 VMs, 200 PMs;998;1070;1070;1070;1070; 
400 VMs, 200 PMs;1249;1330;1332;1338;1338; 
400 VMs, 200 PMs;1260;1350;1356;1362;1358; 
400 VMs, 200 PMs;1159;1233;1248;1247;1246; 
400 VMs, 200 PMs;1110;1198;1203;1203;1203; 
400 VMs, 200 PMs;1120;1200;1200;1216;1215; 
400 VMs, 200 PMs;1209;1286;1292;1295;1296; 
400 VMs, 200 PMs;1159;1234;1238;1238;1241; 
400 VMs, 200 PMs;1270;1350;1358;1358;1357; 
400 VMs, 200 PMs;1130;1208;1217;1218;1217; 
400 VMs, 200 PMs;1019;1087;1086;1097;1096; 
400 VMs, 200 PMs;1280;1357;1360;1366;1365; 
400 VMs, 200 PMs;1159;1234;1234;1245;1244; 
400 VMs, 200 PMs;1219;1298;1304;1304;1305; 
400 VMs, 200 PMs;1120;1200;1218;1214;1217; 
400 VMs, 200 PMs;1130;1210;1210;1225;1224; 
400 VMs, 200 PMs;1190;1267;1275;1275;1275; 
400 VMs, 200 PMs;1050;1130;1136;1145;1145; 
400 VMs, 200 PMs;1169;1242;1251;1251;1249; 
400 VMs, 200 PMs;1149;1230;1230;1237;1233; 
