Input problem; 1.0; 0.95; 0.9; 0.8; 0.7; Minimal optimum; 1.0: cost; 0.95: cost; 0.9: cost; 0.8: cost; 0.7: cost; 
200 VMs, 400 PMs; 60.006; 60.005; 60.005; 60.005; 0.244; 460; 583; 585; 585; 585; 585; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 0.242; 0.243; 480; 584; 588; 588; 588; 588; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 0.258; 469; 593; 600; 600; 600; 600; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 0.223; 480; 611; 613; 613; 613; 613; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 0.251; 0.251; 469; 560; 560; 560; 560; 560; 
200 VMs, 400 PMs; 60.004; 60.004; 60.005; 0.215; 0.214; 468; 563; 569; 569; 569; 569; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 0.246; 0.247; 430; 528; 530; 530; 530; 530; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 0.243; 419; 530; 530; 530; 530; 530; 
200 VMs, 400 PMs; 60.005; 60.004; 60.005; 0.232; 0.231; 458; 552; 560; 560; 560; 560; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 60.005; 0.229; 409; 532; 533; 533; 533; 533; 
200 VMs, 400 PMs; 60.005; 60.005; 60.004; 0.238; 0.236; 439; 530; 530; 530; 530; 530; 
200 VMs, 400 PMs; 60.005; 60.005; 60.004; 0.252; 0.253; 489; 598; 600; 600; 600; 600; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 0.226; 0.225; 520; 648; 649; 649; 649; 649; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 0.238; 488; 605; 614; 614; 614; 614; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 0.223; 0.223; 498; 600; 600; 600; 600; 600; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 0.22; 430; 537; 543; 543; 543; 543; 
200 VMs, 400 PMs; 60.005; 60.005; 60.004; 0.253; 0.253; 478; 583; 587; 587; 587; 587; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 0.278; 0.277; 449; 549; 550; 550; 550; 550; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 0.237; 0.237; 490; 610; 612; 612; 612; 612; 
200 VMs, 400 PMs; 60.004; 60.005; 60.005; 0.247; 0.247; 429; 530; 530; 530; 530; 530; 
200 VMs, 400 PMs; 60.004; 60.004; 60.005; 0.258; 0.257; 478; 580; 580; 580; 580; 580; 
200 VMs, 400 PMs; 60.005; 60.005; 60.005; 60.005; 0.263; 430; 534; 540; 540; 540; 540; 
