Input problem; BT_1; BT_0.98; BT_0.99; BT_0.999; Minimal optimum; BT_1: cost; BT_0.98: cost; BT_0.99: cost; BT_0.999: cost; 
400 VMs, 200 PMs; 60.006; 60.006; 60.006; 60.005; 1078; 1140; 1140; 1140; 1140; 
400 VMs, 200 PMs; 60.005; 60.006; 60.006; 60.006; 1219; 1298; 1300; 1300; 1298; 
400 VMs, 200 PMs; 60.005; 60.006; 60.006; 60.006; 1139; 1225; 1231; 1231; 1225; 
400 VMs, 200 PMs; 60.006; 60.004; 60.006; 60.006; 1190; 1272; 1278; 1278; 1272; 
400 VMs, 200 PMs; 60.005; 60.006; 60.005; 60.005; 1210; 1289; 1295; 1295; 1289; 
400 VMs, 200 PMs; 60.006; 60.006; 60.006; 60.006; 1080; 1160; 1160; 1160; 1160; 
400 VMs, 200 PMs; 60.006; 60.006; 60.006; 60.006; 1239; 1323; 1333; 1319; 1317; 
400 VMs, 200 PMs; 60.004; 60.006; 60.035; 60.006; 1130; 1220; 1228; 1228; 1220; 
400 VMs, 200 PMs; 60.006; 60.006; 60.006; 60.005; 1040; 1138; 1139; 1139; 1139; 
400 VMs, 200 PMs; 60.006; 60.006; 60.006; 60.006; 1210; 1300; 1303; 1303; 1301; 

